credito_id,cliente_id,fecha_desembolso,producto_credito,monto_credito,plazo_meses,tasa_interes_mensual,valor_cuota_pactada,canal_originacion,score_interno_originacion,relacion_cuota_ingreso,politica_aprobacion,estado_credito_operativo,tasa_outlier,mora_30,max_dias_mora_6m,pct_pagadas_tiempo,n_cuotas_con_mora,edad,genero,estrato,nivel_educativo,ocupacion,ingreso_mensual_estimado,score_externo,canal_adquisicion,tiene_producto_ahorro,numero_dependientes,dispositivo_principal,score_externo_nulo,edad_sospechosa,total_eventos,dias_activo,logins,pagos_iniciados,pagos_exitosos,pagos_fallidos,consultas_saldo,simulaciones_credito,solicitudes_soporte,pct_exitosos,pct_abandonados,sesion_promedio_seg,tasa_conversion_pago
CR000001,CL00001,2025-03-25,Crédito libre inversión,2000000,9,0.0301,257000,App,677,0.1606,Automática,Finalizado,0,0,18,0.6666666666666666,2,41,M,1,Técnico/Tecnólogo,Comerciante,1600000.0,444.0,Campaña digital,False,2,Android,0,0,4,189,2,0,0,1,0,1,0,0.5,0.25,135.75,0.0
CR000002,CL00002,2025-09-08,Avance de nómina,2150000,3,0.0261,754000,Web,859,0.2278,Automática,Finalizado,0,0,0,1.0,0,35,F,3,Técnico/Tecnólogo,Pensionado,3310000.0,580.0,Referido,False,3,iOS,0,0,8,177,4,0,0,1,1,1,0,0.875,0.0,162.75,0.0
CR000003,CL00003,2024-06-28,Microcrédito,4350000,6,0.0398,829000,Aliado,805,0.3528,Manual,Mora moderada,0,1,48,0.6666666666666666,2,42,F,2,Universitario,Independiente,2350000.0,564.0,Campaña digital,False,0,iOS,0,0,18,796,7,4,2,0,3,1,0,0.8888888888888888,0.1111111111111111,160.0,0.5
CR000004,CL00003,2024-03-22,Avance de nómina,950000,12,0.0233,92000,App,861,0.0391,Automática,Finalizado,0,0,7,0.6666666666666666,2,42,F,2,Universitario,Independiente,2350000.0,564.0,Campaña digital,False,0,iOS,0,0,18,796,7,4,2,0,3,1,0,0.8888888888888888,0.1111111111111111,160.0,0.5
CR000005,CL00003,2026-01-30,Crédito consumo digital,1450000,9,0.0211,179000,Aliado,865,0.0762,Automática,Activo,0,0,0,1.0,0,42,F,2,Universitario,Independiente,2350000.0,564.0,Campaña digital,False,0,iOS,0,0,18,796,7,4,2,0,3,1,0,0.8888888888888888,0.1111111111111111,160.0,0.5
CR000006,CL00005,2026-01-28,Microcrédito,1300000,6,0.0253,236000,App,776,0.2593,Automática,Mora moderada,0,1,33,0.3333333333333333,2,34,F,1,Universitario,Empleado,910000.0,515.0,Aliado comercial,False,2,Android,0,0,10,104,3,2,2,1,2,0,0,0.6,0.3,205.8,1.0
CR000007,CL00006,2024-08-11,Crédito libre inversión,3800000,12,0.0293,380000,Web,867,0.1105,Automática,Finalizado,0,0,24,0.8333333333333334,1,34,F,2,Técnico/Tecnólogo,Empleado,3440000.0,466.0,Referido,True,0,iOS,0,0,8,647,0,1,0,2,2,1,0,0.75,0.0,174.125,0.0
CR000008,CL00007,2025-06-24,Crédito libre inversión,10800000,12,0.0319,1098000,Aliado,875,0.2845,Automática,Mora severa,0,1,88,0.6666666666666666,2,52,M,3,Universitario,Conductor/Repartidor,3860000.0,600.0,App orgánico,True,0,Android,0,0,12,383,5,0,1,1,3,1,1,0.5833333333333334,0.25,160.08333333333334,0.0
CR000009,CL00008,2024-10-19,Microcrédito,1300000,18,0.0314,96000,App,606,0.064,Manual,Mora severa,0,1,79,0.6666666666666666,2,44,F,4,Técnico/Tecnólogo,Desempleado,1500000.0,456.0,Campaña digital,True,0,Android,0,0,13,725,5,2,2,1,2,0,1,0.5384615384615384,0.3076923076923077,144.3846153846154,1.0
CR000010,CL00010,2025-04-16,Crédito libre inversión,2100000,24,0.0336,129000,App,874,0.0502,Automática,Mora moderada,0,1,54,0.8333333333333334,1,41,F,3,Posgrado,Conductor/Repartidor,2220000.0,576.0,Referido,True,0,Android,0,0,12,450,3,1,2,0,2,1,3,0.5833333333333334,0.16666666666666666,154.75,2.0
