cliente_id,total_eventos,dias_activo,logins,pagos_iniciados,pagos_exitosos,pagos_fallidos,consultas_saldo,simulaciones_credito,solicitudes_soporte,pct_exitosos,pct_abandonados,sesion_promedio_seg,tasa_conversion_pago
CL00001,4,189,2,0,0,1,0,1,0,0.5,0.25,135.75,0.0
CL00002,8,177,4,0,0,1,1,1,0,0.875,0.0,162.75,0.0
CL00003,18,796,7,4,2,0,3,1,0,0.8888888888888888,0.1111111111111111,160.0,0.5
CL00004,6,208,2,0,0,0,1,2,1,0.8333333333333334,0.0,141.5,0.0
CL00005,10,104,3,2,2,1,2,0,0,0.6,0.3,205.8,1.0
CL00006,8,647,0,1,0,2,2,1,0,0.75,0.0,174.125,0.0
CL00007,12,383,5,0,1,1,3,1,1,0.5833333333333334,0.25,160.08333333333334,0.0
CL00008,13,725,5,2,2,1,2,0,1,0.5384615384615384,0.3076923076923077,144.3846153846154,1.0
CL00009,6,177,2,0,0,0,2,0,0,1.0,0.0,150.0,0.0
CL00010,12,450,3,1,2,0,2,1,3,0.5833333333333334,0.16666666666666666,154.75,2.0
CL00011,12,192,4,3,0,0,2,1,1,0.6666666666666666,0.25,198.66666666666666,0.0
CL00012,7,678,4,1,1,0,1,0,0,1.0,0.0,207.85714285714286,1.0
CL00013,10,449,2,2,3,1,1,1,0,0.8,0.1,139.3,1.5
CL00014,10,177,3,2,1,0,2,0,1,0.4,0.5,145.4,0.5
CL00015,24,117,6,6,1,2,5,0,1,0.7916666666666666,0.08333333333333333,159.5,0.16666666666666666
CL00016,7,801,0,1,0,0,1,1,2,0.5714285714285714,0.14285714285714285,142.42857142857142,0.0
CL00017,10,492,3,0,2,0,3,1,0,0.8,0.2,174.3,0.0
CL00018,12,637,6,2,0,0,2,0,2,0.6666666666666666,0.16666666666666666,127.41666666666667,0.0
CL00019,3,501,0,1,1,0,1,0,0,0.6666666666666666,0.3333333333333333,164.33333333333334,1.0
CL00020,13,928,6,2,1,1,1,0,2,0.6153846153846154,0.15384615384615385,116.0,0.5
CL00021,9,801,2,2,0,1,2,1,0,0.6666666666666666,0.2222222222222222,143.0,0.0
CL00022,4,821,1,1,0,0,0,2,0,0.75,0.25,81.75,0.0
CL00023,5,122,0,2,0,0,1,0,1,0.6,0.2,69.0,0.0
CL00024,4,296,2,1,0,0,1,0,0,1.0,0.0,118.25,0.0
CL00025,8,816,4,0,0,0,2,1,0,0.875,0.125,101.875,0.0
CL00026,6,145,2,1,0,0,0,1,2,0.5,0.16666666666666666,190.33333333333334,0.0
CL00027,4,938,3,0,0,0,1,0,0,0.75,0.25,156.75,0.0
CL00028,18,153,9,3,0,0,4,1,0,0.9444444444444444,0.05555555555555555,150.05555555555554,0.0
CL00029,10,611,1,3,1,0,1,0,3,0.6,0.1,183.4,0.3333333333333333
CL00030,9,156,2,3,2,1,0,0,1,0.5555555555555556,0.2222222222222222,149.22222222222223,0.6666666666666666
CL00031,6,495,1,0,1,0,1,1,2,0.6666666666666666,0.0,92.5,0.0
CL00032,4,1019,1,0,0,0,2,0,0,1.0,0.0,216.5,0.0
CL00033,6,219,2,1,1,0,0,1,1,0.6666666666666666,0.16666666666666666,120.33333333333333,1.0
CL00034,22,109,6,2,0,2,4,1,4,0.6818181818181818,0.045454545454545456,168.54545454545453,0.0
CL00035,8,262,6,0,0,0,0,0,2,0.625,0.125,85.875,0.0
CL00036,17,389,4,4,1,2,3,1,0,0.7647058823529411,0.11764705882352941,153.1764705882353,0.25
CL00037,8,232,2,0,1,0,4,0,0,0.875,0.125,147.625,0.0
CL00038,8,204,2,2,0,0,2,0,1,0.625,0.25,160.75,0.0
CL00039,13,621,2,3,3,1,1,2,0,0.8461538461538461,0.07692307692307693,202.23076923076923,1.0
CL00040,14,134,6,2,1,0,2,0,3,0.5714285714285714,0.21428571428571427,128.28571428571428,0.5
CL00041,8,929,3,1,3,0,0,0,1,0.875,0.0,105.625,3.0
CL00042,7,267,3,0,2,0,0,1,1,0.7142857142857143,0.14285714285714285,243.57142857142858,0.0
CL00043,5,519,2,0,0,0,1,0,1,0.4,0.4,172.8,0.0
CL00044,10,364,1,2,1,1,2,1,2,0.7,0.0,112.9,0.5
CL00045,4,278,1,1,1,0,0,0,0,1.0,0.0,115.0,1.0
CL00046,13,378,3,2,0,1,5,0,1,0.6153846153846154,0.23076923076923078,205.84615384615384,0.0
CL00047,10,256,4,2,0,0,2,0,2,0.8,0.0,139.2,0.0
CL00048,15,464,4,2,1,2,3,1,1,0.6666666666666666,0.13333333333333333,161.4,0.5
CL00049,4,132,1,0,3,0,0,0,0,0.75,0.25,155.75,0.0
CL00050,7,787,2,0,0,0,4,0,1,0.5714285714285714,0.2857142857142857,185.14285714285714,0.0
CL00051,10,585,3,1,2,0,2,1,0,0.8,0.2,135.0,2.0
CL00052,12,516,3,1,2,0,3,0,3,0.5833333333333334,0.16666666666666666,126.08333333333333,2.0
CL00053,11,154,4,1,1,1,2,0,2,0.6363636363636364,0.09090909090909091,157.36363636363637,1.0
CL00054,5,818,1,1,0,0,2,0,0,1.0,0.0,166.2,0.0
CL00055,3,182,1,0,0,0,2,0,0,0.6666666666666666,0.3333333333333333,110.66666666666667,0.0
CL00056,10,162,2,3,1,1,2,1,0,0.7,0.2,117.4,0.3333333333333333
CL00057,6,709,2,0,0,0,2,0,1,0.5,0.3333333333333333,132.0,0.0
CL00058,5,744,1,0,1,0,2,0,1,0.6,0.2,195.0,0.0
CL00059,11,234,3,0,3,1,2,0,2,0.45454545454545453,0.2727272727272727,224.54545454545453,0.0
CL00060,13,308,3,2,2,1,4,0,0,0.8461538461538461,0.07692307692307693,155.76923076923077,1.0
CL00061,9,899,2,1,3,0,2,1,0,1.0,0.0,191.55555555555554,3.0
CL00062,8,181,2,0,2,0,0,1,2,0.625,0.125,130.5,0.0
CL00063,9,1016,5,2,1,0,1,0,0,1.0,0.0,200.22222222222223,0.5
CL00064,9,699,5,2,1,0,0,0,1,0.7777777777777778,0.1111111111111111,144.0,0.5
CL00065,16,758,2,3,3,2,5,0,1,0.75,0.0625,186.6875,1.0
CL00066,3,299,0,0,0,0,1,0,2,0.3333333333333333,0.0,143.0,0.0
CL00067,12,380,3,2,1,1,4,0,0,0.9166666666666666,0.0,194.91666666666666,0.5
CL00068,14,656,3,2,2,0,4,1,2,0.8571428571428571,0.0,154.64285714285714,1.0
CL00069,10,850,5,2,1,0,1,0,0,1.0,0.0,167.3,0.5
CL00070,5,548,2,2,1,0,0,0,0,1.0,0.0,256.2,0.5
CL00071,3,27,0,0,1,0,1,0,1,0.6666666666666666,0.0,184.0,0.0
CL00072,8,172,3,2,1,0,2,0,0,0.875,0.125,153.75,0.5
CL00073,11,554,2,0,0,2,4,1,2,0.6363636363636364,0.0,123.54545454545455,0.0
CL00074,8,164,3,1,0,0,3,0,1,0.75,0.125,181.625,0.0
CL00075,6,347,2,0,1,1,0,1,0,0.8333333333333334,0.0,148.83333333333334,0.0
CL00076,10,616,2,2,2,0,4,0,0,0.8,0.2,192.7,1.0
CL00077,10,72,5,0,2,0,3,0,0,0.9,0.1,134.6,0.0
CL00078,10,299,2,3,2,0,1,0,2,0.6,0.2,156.3,0.6666666666666666
CL00079,11,665,5,0,0,0,4,1,1,0.7272727272727273,0.18181818181818182,194.54545454545453,0.0
CL00080,8,178,3,1,1,0,3,0,0,0.875,0.125,216.5,1.0
CL00081,9,837,2,1,2,0,4,0,0,1.0,0.0,122.0,2.0
CL00082,9,891,1,1,3,0,3,1,0,0.7777777777777778,0.2222222222222222,103.11111111111111,3.0
CL00083,9,229,4,2,2,0,1,0,0,0.8888888888888888,0.1111111111111111,135.44444444444446,1.0
CL00085,3,109,1,0,0,0,1,0,0,0.3333333333333333,0.6666666666666666,126.66666666666667,0.0
CL00086,15,114,7,2,1,0,4,0,1,0.8,0.13333333333333333,139.86666666666667,0.5
CL00087,1,1,1,0,0,0,0,0,0,1.0,0.0,217.0,0.0
CL00088,14,495,4,3,1,0,3,0,2,0.6428571428571429,0.21428571428571427,102.78571428571429,0.3333333333333333
CL00089,13,132,4,1,2,1,2,1,2,0.38461538461538464,0.38461538461538464,203.92307692307693,2.0
CL00090,5,117,2,0,0,0,2,1,0,0.8,0.2,178.2,0.0
CL00091,12,257,7,2,0,1,0,1,1,0.75,0.08333333333333333,167.25,0.0
CL00092,8,913,3,1,0,1,1,0,0,0.75,0.125,163.75,0.0
CL00093,21,918,5,3,3,0,4,2,4,0.7142857142857143,0.09523809523809523,178.04761904761904,1.0
CL00094,10,489,6,1,0,0,0,1,2,0.7,0.1,161.7,0.0
CL00095,22,736,8,1,3,0,7,1,2,0.6818181818181818,0.22727272727272727,134.54545454545453,3.0
CL00096,16,594,1,2,2,4,5,0,2,0.625,0.0,191.8125,1.0
CL00097,5,727,0,2,0,0,1,1,1,0.8,0.0,277.6,0.0
CL00098,5,701,1,2,0,0,2,0,0,0.8,0.2,153.0,0.0
CL00099,11,561,3,1,0,2,5,0,0,0.6363636363636364,0.18181818181818182,116.72727272727273,0.0
CL00100,14,1008,3,3,2,1,4,0,1,0.8571428571428571,0.0,131.07142857142858,0.6666666666666666
CL00101,14,598,3,2,1,1,4,1,2,0.7142857142857143,0.07142857142857142,169.21428571428572,0.5
CL00102,7,582,2,1,2,0,1,0,0,1.0,0.0,135.14285714285714,2.0
CL00103,7,423,2,0,3,0,0,0,0,1.0,0.0,116.71428571428571,0.0
CL00104,17,125,5,0,2,0,9,1,0,0.6470588235294118,0.35294117647058826,162.7058823529412,0.0
