credito_id,max_dias_mora_6m,cuotas_observadas,pct_pagadas_tiempo,n_cuotas_con_mora,mora_30
CR000001,18,6,0.6666666666666666,2,0
CR000002,0,3,1.0,0,0
CR000003,48,6,0.6666666666666666,2,1
CR000004,7,6,0.6666666666666666,2,0
CR000005,0,3,1.0,0,0
CR000006,33,3,0.3333333333333333,2,1
CR000007,24,6,0.8333333333333334,1,0
CR000008,88,6,0.6666666666666666,2,1
CR000009,79,6,0.6666666666666666,2,1
CR000010,54,6,0.8333333333333334,1,1
CR000011,0,6,1.0,0,0
CR000012,0,4,0.75,0,0
CR000013,0,6,1.0,0,0
CR000014,0,3,1.0,0,0
CR000015,0,3,0.6666666666666666,0,0
CR000016,16,5,0.6,1,0
CR000017,77,5,0.4,2,1
CR000018,26,5,0.6,1,0
CR000019,0,6,1.0,0,0
CR000020,15,6,0.6666666666666666,2,0
CR000021,3,6,0.8333333333333334,1,0
CR000022,0,3,1.0,0,0
CR000023,0,3,1.0,0,0
CR000024,2,6,0.8333333333333334,1,0
CR000025,0,6,1.0,0,0
CR000026,15,6,0.8333333333333334,1,0
CR000027,14,6,0.5,3,0
CR000028,22,4,0.5,2,0
CR000029,0,6,1.0,0,0
CR000030,0,4,1.0,0,0
CR000031,0,3,1.0,0,0
CR000032,0,6,1.0,0,0
CR000033,0,3,0.6666666666666666,0,0
CR000034,32,6,0.6666666666666666,2,1
CR000035,0,6,1.0,0,0
CR000036,0,6,1.0,0,0
CR000037,27,6,0.3333333333333333,3,0
CR000038,52,6,0.6666666666666666,2,1
CR000039,73,6,0.3333333333333333,4,1
CR000040,0,5,1.0,0,0
CR000041,0,6,1.0,0,0
CR000042,74,3,0.6666666666666666,1,1
CR000043,0,4,0.75,0,0
CR000044,0,3,1.0,0,0
CR000046,0,6,1.0,0,0
CR000047,0,4,0.75,0,0
CR000048,0,3,1.0,0,0
CR000049,0,3,1.0,0,0
CR000050,0,6,1.0,0,0
CR000051,19,6,0.8333333333333334,1,0
CR000052,0,3,1.0,0,0
CR000053,25,6,0.3333333333333333,4,0
CR000054,49,3,0.0,3,1
CR000055,46,6,0.6666666666666666,2,1
CR000056,24,6,0.8333333333333334,1,0
CR000057,23,6,0.8333333333333334,1,0
CR000059,32,6,0.6666666666666666,2,1
CR000060,7,6,0.8333333333333334,1,0
CR000061,0,4,1.0,0,0
CR000062,0,6,1.0,0,0
CR000064,7,3,0.3333333333333333,1,0
CR000065,6,6,0.8333333333333334,1,0
CR000066,0,4,1.0,0,0
CR000067,0,6,1.0,0,0
CR000068,64,6,0.8333333333333334,1,1
CR000070,88,3,0.6666666666666666,1,1
CR000071,19,6,0.8333333333333334,1,0
CR000072,0,6,1.0,0,0
CR000073,0,6,1.0,0,0
CR000074,18,6,0.8333333333333334,1,0
CR000075,0,6,1.0,0,0
CR000076,54,4,0.0,3,1
CR000077,0,6,1.0,0,0
CR000078,0,4,0.75,0,0
CR000079,17,6,0.6666666666666666,2,0
CR000080,76,6,0.8333333333333334,1,1
CR000081,0,6,1.0,0,0
CR000082,1,6,0.6666666666666666,1,0
CR000083,0,6,1.0,0,0
CR000085,1,4,0.75,1,0
CR000086,70,6,0.8333333333333334,1,1
CR000087,1,5,0.6,1,0
CR000088,14,3,0.6666666666666666,1,0
CR000089,15,6,0.5,3,0
CR000090,28,3,0.3333333333333333,2,0
CR000092,10,3,0.3333333333333333,1,0
CR000093,0,6,1.0,0,0
CR000094,22,6,0.8333333333333334,1,0
CR000095,0,6,1.0,0,0
CR000096,0,5,0.8,0,0
CR000097,6,3,0.6666666666666666,1,0
CR000098,54,6,0.8333333333333334,1,1
CR000099,17,6,0.8333333333333334,1,0
CR000100,18,3,0.6666666666666666,1,0
CR000101,23,6,0.6666666666666666,2,0
CR000102,109,6,0.3333333333333333,4,1
CR000103,0,3,1.0,0,0
CR000104,112,6,0.8333333333333334,1,1
CR000105,0,6,1.0,0,0
CR000106,25,6,0.5,3,0
CR000107,46,6,0.6666666666666666,2,1
CR000108,0,3,1.0,0,0
CR000110,10,6,0.8333333333333334,1,0
CR000111,0,6,1.0,0,0
CR000112,0,6,1.0,0,0
CR000113,0,4,0.75,0,0
CR000114,0,3,0.6666666666666666,0,0
CR000115,3,6,0.8333333333333334,1,0
CR000116,0,6,1.0,0,0
CR000117,72,6,0.8333333333333334,1,1
CR000118,20,6,0.6666666666666666,1,0
